"Part, Time",Transcript,Work Flow,Operation Description,Operation Commands
"YouTube Video, Part 1",Introduction: (Why make shaded relief maps with Blender is a good idea),,,
,[not transcribed],,,
,,,,
"YouTube Video, Part 2",Blender Basics,,,
0:25,"Blender is not a spatially aware software, which means it can read in projection information",,,
0:52,"DEM must already be projected, clipped and sized as it will be used in your final map.",,,
2:00,Starting Blender software,,,
2:30,basic tools for using Blender,,,
2:50,"navigating around scene (rotate, pan, zoom)",,,
3:00,issues with 3-button mouse default,,,
3:25,Changing user preferences to accommodate a 2-button mouse,,,
4:30,"rotating around a scene (ALT + left click-drag, or middle-click drag)",,Rotate around a scene,"ALT + left click-drag, or middle-click drag"
4:50,pan around scene (ALT + SHIFT + left click-drag),,Pan around scene,ALT + SHIFT + left click-drag
5:04,"zoom in and out (ALT + CONTROL+ move mouse up and down, or scroll wheel)",,Zoom in and out,"ALT + CONTROL+ move mouse up and down, or scroll wheel"
5:35,"Selecting objects, such as camera, light source, cube, plane, etc. (Right-click on object)",,"Select Objects (e.g. camera, light source, cube, plane, etc)",Right-click on object
6:23,"Alternate way to select objects (selecting objects in right-panel, outliner view)",,,
6:38,Select object from Outliner view (left-click on object name),,Select object from Outliner view (panel on right-hand side of screen),left-click on object name
7:05,Understanding the elements of Blender as a photographic studio,,,
,-object to photograph (ex. Cube),,,
,-camera for taking photographs,,,
,-light source (blender calls a lamp) to light the scene,,,
7:40,Explaining the mechanics of how the objects operate together,,,
7:45,"Explainging the rendering operation, aka 'Taking photographs of scene'",,,
7:50,Image Rendering process (Render menu dropdown -> Render Image),1,Render Image,Render menu dropdown -> Render Image
8:30,Different types of rendering engines,,,
8:45,Changing rendering engine from Blender Render to Cycles Render,2,Change Rendering Engine,open Render menu (upper left of screen) -> Render Image -> Blender Render dropdown -> Cycles Rendere
9:27,"To exit the rendering results screen, press Escape",,Exit Rendering output screen,press Escape
9:35,Defining what a mesh is - def. a mesh is a 3D vector object,,,
9:55,Toggle between Object Mode and Edit Mode (press TAB),,Toggle between Object Mode and Edit Mode,press TAB
10:35,Adding additional meshes (e.g. 3D vector objects)(press SHIFT + A to get the Add pop-up menu to appear),,Show Add Meshes Menu (aka. 3D vector objects),press SHIFT + A
,"**NOTE NOT IN VIDEO** Alternate way to add a mesh is throught the Add menu dropdown, located in the upper-left hand side of the window, next to the Render dropdown menu.",,,
11:00,New meshes appear in the scene where the 3D coursor is (Left-Click to move or place 3D cursor),,,Left-Click to move or place 3D cursor
11:10,"Add a Plane mesh (SHIFT + A, Mesh -> Plane)",,Add a Plane mesh,"SHIFT + A, Mesh -> Plane"
11:30,Summary description of the process for making a shaded relief model in Blender,,,
,-make a plane,,,
,-subdivide the plane into lots of vertices,,,
,"-add a DEM image to the plane to tell Blender how to displace the vertices, thereby creating the 3D terain",,,
,"-place the camera directly over the plane oriented downward, or nadir to the plane",,,
,-light the plane surface from a light source placed in the corner,,,
,,,,
"YouTube Video, Part 3",The Plane,,,
0:15,"Deleting extra objects, the cube and cylinder",,,
0:25,"Select object to delete with Right-Click, then press DELETE key.  When confirm delete pop-up menu appears, select Delete again.",3,Delete unwanted meshes,"Select object, then press DELETE (or, press X), and confirm deletion"
,"**NOTE NOT IN VIDEO** On an Apple MacBook Pro, pressing the DELETE key as described does not work.  Alternative ways to delete objects are to press the X key, and then confirm delete when the pop-up menu appears.  A second alternative is to use the Outliner pane; Right-Click on object, and choose Delete from the Outliner Object Operation pop-up menu which appears.",,,
0:50,Starting from a blank scene,,,
0:55,"Add a new plane (Shift + A to get the Add pop-up menu, then select Mesh-> Plane",4,Add a new Plane Mesh,"Shift + A to get the Add pop-up menu, then select Mesh-> Plan"
1:00,Aligning new plane to the origin point of the scene,,,
1:55,Explanation of how to move the location of the plane in the scene by changing the properties of the plane in the Right Pane,,,
2:00,"With plane selected (remember, Right-click on it), in the Right-hand pane (beneath Outliner), Select the orangish-brown cube shaped icon to show the Object (e.g. Plane) properties tab.",5,Access (Plane) Object Properties,"Select Object, then Select the orangish-brown cube shaped icon to show the Object (e.g. Plane) properties tab"
2:20,"Identifying and changing the Location properties for the Plane within the Transform group of the Object properties tab, to move the plane to the scene origin of X=0, Y=0, Z=0",6,Align Plane to origin of scene,"Select Object, then click Object Properties Tab -> Transform: Location -> set X=0, Y=0, Z=0"
3:10,Changing the Aspect Ratio of the plane to match the shape of the input DEM,,,
3:35,"Aspect Ratio properties are controlled by the X and Y, Scale properties, also found within the Transform group of the Object properties tab.",7,Change Aspect Ratio of plane to match DEM,"Select Object, then click Object Properties Tab -> Transform: Scale -> set X, Y, to a proportion of desired DEM (ex. DEM is 1201 columns, and 1305 rows, set X=1.201 and Y=1.305)"
3:50,How to select scale of aspect ratio- suggested that plane size should fit within coordinate frame of scene,,,
5:10,Proces of subdividing the plane to create more vertices,,,
5:35,Explanation of the relationship between the number of vertices within a plane and the level of detail with which the terrain is rendered,,,
6:00,How to use the subdivide tool,,,
,-select the Plane object and press TAB to change to Edit mode,8,Change from Object Mode to Edit Mode,press TAB
6:30,"In the left-hand pane, under the Add group of buttons, left-click on Subdivide",9,Select the Subdivide tool to subdivide the plane into lots of vertices,"Select Object (right-click), change to Edit mode (TAB), locate Subdivide tool in: Tools tab (Left-hand pane) -> Mesh Tools (expand) -> Add: Subdivide"
6:40,Clicking the subdivide tool automatically divides the plane into 4 pieces,,,
7:00,Increasing the number of subdivisions via the Number of Cuts options within the Subdivide pane,10,Define the number of vertices to be created by the Subdivide tool (tool can take several minutes to run),expand Subdivide tool -> Number of Cuts -> enter number of cuts (500-2500)
7:30,"Reasoning for how to pick the number of subdivisions- we want the highest number of subdivisions our computer can support.  YouTube Demo uses 500, 4-year old computer can do 1500, computer from 2013 can support 2500, but takes several minutes to process",,,
,-the number of subdivisions is limited by the amount of RAM memory in the computer,,,
,"-number of subdivisions increases the number of vertices in the plane, which increases the quality of the terrain surface generated",,,
9:10,"For this demo, we will use 500 subdivisions.",,,
10:20,"After subdivisions have been created, change from Edit mode to Object mode by pressing TAB",11,Change from Edit Mode back to Object Mode,press TAB
10:30,Explanation of the vertical displacement process,,,
10:40,Adding a displacement modified,,,
10:50,"Locate the displacement modifier menu, by clicking on blue wrench icon on the Object properties pane on the right-side of the screen.  The wrench is located to the right of the orangish-brown cube icon used to change the location and scale of the plane object.",,,
10:56,"Click on the Add Modifier pulldown menu, and under the column heading of Deform, select Displace",12,Add a Modifier which will deform the surface of the plane based on the input DEM,Object Properties window -> Object Modifiers tab -> Add Modifer dropdown -> Deform column: Displace
11:00,Tell blender to displace the terrain surface based on the input DEM by adding a Texture,,,
11:10,"Define the DEM locations by changing to the Texture properties menu, by clicking the small ""Show texture in texture tab"" icon in the Modifier properties menu",,,
,"**NOTE NOT IN VIDEO** finding this icon may be difficult at first.  An alternative way to navigate to the Texture properties menu tab is to click the tab itself, which is the red-and-white checkerboard icon in the Object properties menu (3 tabs to the right of the Modifer property tab's wrench icon).",,,
